ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
57576162,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576163,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,VBCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576164,MT,IP-19RW20007-JHM-1,TESLA,HONDA MOTOR CO,HONDA MOTOR CO LTD,,E6*2007/46*0265*03,RW,RW201,1,HONDA,CR-V,M1,M1,1,2150,1727,151,178,2662,1601,1629,PETROL,M,1498,127,,,,,,,P,2021,,,
57576165,MT,IP-050054-KNA-01,KIA,KIA,KIA CORPORATION,,E5*2007/46*1078*03,JA,F5PB1,M55DZ1,KIA,PICANTO,M1,M1,1,1415,1131,108,123,2400,1390,1402,PETROL,M,1197,62,,,,,,,P,2021,,,
57576166,MT,IP-132019518-JMZ-1,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2041*07,DM,6WE,ACW0CB,MAZDA,CX-30,M1,M1,1,1957,1598,88,101,2655,1565,1565,PETROL,H,1998,90,,E13 28,,0.6,,,P,2021,,,
57576167,MT,IP-201953615D-YV1-1,,VOLVO,VOLVO CAR CORPORATION,,E9*2007/46*3146*09,X,XZ15,XZ15VDO?,VOLVO,XC40,M1,M1,1,2120,1728,147,166,2702,1601,1626,PETROL,M,1477,120,,,,,,,P,2021,,,
57576168,MT,IP-MQB37SZ_B1_0279-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*6394*21,5FP,XDPCAX0,FD7SFD7CW0024BFVL1C19BC,SEAT,ATECA,M1,M1,1,1920,1573,124,161,2621,1572,1537,PETROL,M,1498,110,,,,,,,P,2021,,,
57576169,MT,IP-HNS___ATN85442-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,P,HNSSJ1BC00,PEUGEOT,208,M1,M1,1,1630,1348,103,123,2540,1500,1500,PETROL,M,1199,96,,E2 28 29,,2,,,P,2021,,,
57576170,MT,IP-YHTMB6611D-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0624*10,E,C,YHT2A2C200,CITROEN,BERLINGO,M1,M1,1,2120,1694,109,137,2785,1563,1577,DIESEL,M,1499,75,,E2 29,,1.2,,,P,2021,,,
57576171,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,V/BCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576172,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,V/BCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576173,MT,IP-HMRMA51315-VF7-0,STELLANTIS,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,,E2*2007/46*0003*61,S,XHMR,V/BCJS,CITROEN,C3,M1,M1,1,1515,1188,98,130,2539,1483,1480,PETROL,M,1199,61,,,,,,,P,2021,,,
57576174,MT,IP-HNP___MB6F2427-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0405*27,L,P,HNPJC12100,PEUGEOT,308,M1,M1,1,1735,1324,101,125,2620,1563,1557,PETROL,M,1199,81,,,,,,,P,2021,,,
57576175,MT,IP-HNS___MB6_5420-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*12,U,S,HNSKR1B700,PEUGEOT,2008,M1,M1,1,1715,1350,103,124,2605,1550,1550,PETROL,M,1199,96,,E2  28 29,,2,,,P,2021,,,
